Fecha,Departamento,Municipio,Barrio,Clase de sitio,Arma empleada,Código DANE,CLASE,MARCA,LINEA,MODELO,COLOR
23/03/16,CAUCA,POPAYÁN (CT),LOMAS DE GRANADA 1,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,19001000,CAMIONETA,CHEVROLET,LUV TFR CREW,2003,BEIGE
23/03/16,CAUCA,POPAYÁN (CT),LA ESMERALDA,VIAS PUBLICAS,LLAVE MAESTRA,19001000,AUTOMOVIL,MAZDA,323 HB,1997,BLANCO
23/03/16,CAUCA,SANTANDER DE QUILICHAO,VDA DOMINGUILLO,CARRETERA,ARMA DE FUEGO,19698000,AUTOMOVIL,NISSAN,D22/NP300,2011,ROJO
23/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),PATIO BONITO I E-8,FRENTE CONJUNTO - VIA PUBLICA,LLAVE MAESTRA,11001000,AUTOMOVIL,CHEVROLET,SWIFT,1995,ROJO
23/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),INGEMAR E-2,VIAS PUBLICAS,ARMA DE FUEGO,11001000,AUTOMOVIL,NISSAN,SENTRA 1.8,2014,BLANCO
23/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),SANTA ROSA SUR E-19,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,CHEVROLET,CHEVETTE,1985,BLANCO
23/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),CANDELARIA LA NUEVA I SECTOR E-19,VIAS PUBLICAS,ESCOPOLAMINA,11001000,TAXI,HYUNDAI,ATOS PRIME GL,2012,AMARILLO
23/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),PATIO BONITO I E-8,FRENTE CONJUNTO - VIA PUBLICA,LLAVE MAESTRA,11001000,CAMIONETA,CHEVROLET,LUV KB 21B,1986,ROJO - BLANCO
23/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),SANTA MATILDE I SECTOR E-16,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,11001000,CAMPERO,CHEVROLET,VITARA,2011,BLANCO
23/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),GAITAN E-12,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,HONDA,CIVIC,1994,AZUL
23/03/16,GUAJIRA,MAICAO,LA MOSCA,VIAS PUBLICAS,ARMA DE FUEGO,44430000,AUTOMOVIL,MAZDA,323 NB,1997,VERDE
23/03/16,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CAOB,VIAS PUBLICAS,LLAVE MAESTRA,54001000,CAMIONETA,HYUNDAI,TUCSON IX35 2000,2008,VERDE
23/03/16,TOLIMA,IBAGUÉ (CT),LA FLORIDA,VIAS PUBLICAS,ARMA DE FUEGO,73001000,VEHICULO-PANEL,INTERNATIONAL,4300,2012,BLANCO
23/03/16,VALLE,CALI (CT),EUCARISTICO E19,VIAS PUBLICAS,LLAVE MAESTRA,76001000,AUTOMOVIL,HYUNDAI,i 10 GL,2012,AZUL
23/03/16,VALLE,CALI (CT),LOS CAMBULOS E19,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,76001000,CAMIONETA,SUZUKI,SJ 410 QLC,1984,ROJO
24/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),CANDELARIA LA NUEVA I SECTOR E-19,VIAS PUBLICAS,LLAVE MAESTRA,11001000,CAMIONETA,CHEVROLET,N300,2013,BLANCO
24/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),EL UVAL E-5,VIAS PUBLICAS,ARMA DE FUEGO,11001000,TAXI,HYUNDAI,i 10 GL,2013,AMARILLO
24/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),DINDALITO E-8,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,CHEVROLET,AVEO,2007,PLATA
24/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),BACHUE E-10,VIAS PUBLICAS,LLAVE MAESTRA,11001000,CAMPERO,CHEVROLET,JIMNY,2000,PLATA
24/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),TISQUESUSA E-10,VIAS PUBLICAS,LLAVE MAESTRA,11001000,CAMIONETA,CHEVROLET,LUV,2000,AZUL
24/03/16,VALLE,CALI (CT),LOS GUADUALES E6,VIAS PUBLICAS,LLAVE MAESTRA,76001000,AUTOMOVIL,CHEVROLET,SPRINT,1988,NEGRO
24/03/16,VALLE,CALI (CT),NUEVA TEQUENDAMA E19,VIAS PUBLICAS,LLAVE MAESTRA,76001000,AUTOMOVIL,CHEVROLET,OPTRA,2004,PLATA
25/03/16,ANTIOQUIA,MEDELLÍN (CT),LA AMERICA C-12,VIAS PUBLICAS,LLAVE MAESTRA,5001000,AUTOMOVIL,RENAULT,LOGAN EXPRESSION,2012,GRIS
25/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),VILLA ALSACIA E-8,VIAS PUBLICAS,LLAVE MAESTRA,11001000,CAMIONETA,CHEVROLET,LUV TFR LWB,1995,AZUL
25/03/16,RISARALDA,DOSQUEBRADAS,SECTOR LA POPA,VIAS PUBLICAS,LLAVE MAESTRA,66170000,CAMPERO,CHEVROLET,TROOPER,1988,ROJO - BLANCO
26/03/16,ANTIOQUIA,ITAGUI,VDA. EL PEDREGAL,CARRETERA,LLAVE MAESTRA,5360000,AUTOMOVIL,RENAULT,MEGANE,2004,BEIGE
26/03/16,ANTIOQUIA,MEDELLÍN (CT),EL CUCARACHO C-7,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,5001000,AUTOMOVIL,CHEVROLET,SPARK,2011,ROJO
26/03/16,ANTIOQUIA,RIONEGRO,BELEN,TRAMO DE VIA,CONTUNDENTES,5615000,AUTOMOVIL,RENAULT,DUSTER,2013,GRIS
26/03/16,CASANARE,YOPAL (CT),EL RECUERDO,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,85001000,AUTOMOVIL,VOLGA,SIN LINEA,1990,ROJO
26/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),7 DE AGOSTO E-12,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,RENAULT,R 9 TSE,1990,AZUL
26/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),LA SOLEDAD E-13,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,NISSAN,SENTRA STD,2005,PLATA
26/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),VEINTE DE JULIO E-4,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,MAZDA,323 NS,1989,AZUL
26/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),CAPELLANIA E-9,VIAS PUBLICAS,LLAVE MAESTRA,11001000,CAMIONETA,MAZDA,BT 50,2013,GRIS
26/03/16,NARIÑO,PASTO (CT),SANTIAGO,VIAS PUBLICAS,LLAVE MAESTRA,52001000,AUTOMOVIL,MAZDA,323 HE 5,1996,BLANCO
26/03/16,NARIÑO,PASTO (CT),SAN FELIPE,VIAS PUBLICAS,LLAVE MAESTRA,52001000,AUTOMOVIL,MAZDA,323 NTI,2003,AMARILLO TRANSITO
26/03/16,SANTANDER,PIEDECUESTA,SAN ANTONIO,PARQUEADERO,CONTUNDENTES,68547000,AUTOMOVIL,MITSUBISHI,L 200,2011,BEIGE
26/03/16,VALLE,JAMUNDÍ,LA PRADERA I E24,VIAS PUBLICAS,LLAVE MAESTRA,76364000,AUTOMOVIL,CHEVROLET,OPTRA,2009,BLANCO
27/03/16,ANTIOQUIA,GUARNE,PIEDRAS BLANCAS,CASAS DE HABITACION,ARMA DE FUEGO,5318000,CAMPERO,FORD,ECOSPORT,2015,BEIGE
27/03/16,ANTIOQUIA,GUARNE,PIEDRAS BLANCAS,CASAS DE HABITACION,ARMA DE FUEGO,5318000,CAMPERO,FORD,ESCAPE 4x4,2013,PLATA
27/03/16,ANTIOQUIA,GUARNE,PIEDRAS BLANCAS,CASAS DE HABITACION,ARMA DE FUEGO,5318000,CAMPERO,FORD,ESCAPE XLT,2011,NEGRO
27/03/16,ATLÁNTICO,BARRANQUILLA (CT),BUENA ESPERANZA,VIAS PUBLICAS,LLAVE MAESTRA,8001000,AUTOMOVIL,FORD,LASER,2001,ESTRATO DE PERLA
27/03/16,CESAR,AGUSTÍN CODAZZI,VEREDA,CARRETERA,ARMA DE FUEGO,20013000,AUTOMOVIL,CHEVROLET,AVEO EMOTION,2013,GRIS
27/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),BANDERAS E-8,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,CHEVROLET,SPARK,2011,ROJO
27/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),PRADO PINZON E-11,VIAS PUBLICAS,LLAVE MAESTRA,11001000,CAMIONETA,MAZDA,B 2200,2004,STRATO PLATA
27/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),TIMIZA CÉLULA A LOTE RA-2 E-8,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,CHEVROLET,SPARK GO,2008,PLATA
27/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),LA ESTANCIA E-19,VIAS PUBLICAS,LLAVE MAESTRA,11001000,CAMIONETA,CHEVROLET,LUV TFR,1991,BLANCO
27/03/16,NORTE DE SANTANDER,CÚCUTA (CT),URBANIZACION SAN ISIDRO,VIAS PUBLICAS,LLAVE MAESTRA,54001000,AUTOMOVIL,MAZDA,626 L,1984,BLANCO
27/03/16,TOLIMA,MARIQUITA,VRDA. LAS LOMAS,VIAS PUBLICAS,ARMA DE FUEGO,73443000,CAMION,JAC,HFC1061K,2010,BEIGE
27/03/16,VALLE,CAICEDONIA,ISABELA,VIAS PUBLICAS,LLAVE MAESTRA,76122000,AUTOMOVIL,TOYOTA,LAND CRUISER,1995,BLANCO
27/03/16,VALLE,CALI (CT),BOSQUES DEL LIMONAR E17,VIAS PUBLICAS,LLAVE MAESTRA,76001000,AUTOMOVIL,HYUNDAI,i 10 GL,2013,BLANCO
27/03/16,VALLE,CALI (CT),CIUDAD CORDOBA E15,VIAS PUBLICAS,LLAVE MAESTRA,76001000,AUTOMOVIL,RENAULT,R 9 GTX,1990,ROJO
27/03/16,VALLE,CALI (CT),ANTONIO NARIÑO E16,VIAS PUBLICAS,LLAVE MAESTRA,76001000,AUTOMOVIL,MAZDA,DEMIO,2006,BLANCO
28/03/16,ANTIOQUIA,BELLO,LA MADERA,VIAS PUBLICAS,ARMA DE FUEGO,5088000,AUTOMOVIL,FORD,FIESTA,2012,PLATA
28/03/16,ANTIOQUIA,MEDELLÍN (CT),CONQUISTADORES C-11,BOMBA DE GASOLINA,ARMA DE FUEGO,5001000,CAMIONETA,VOLKSWAGEN,AMAROK_COMFORTLINE,2015,BLANCO
28/03/16,ANTIOQUIA,MEDELLÍN (CT),GRANADA C-16,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,5001000,CAMPERO,DAIHATSU,LF 20,1978,VERDE
28/03/16,ANTIOQUIA,MEDELLÍN (CT),GUAYABAL C-15,VIAS PUBLICAS,ARMA DE FUEGO,5001000,AUTOMOVIL,MAZDA,2,2016,GRIS
28/03/16,ARAUCA,TAME,20 DE JULIO,VIAS PUBLICAS,ARMA DE FUEGO,81794000,AUTOMOVIL,RENAULT,LOGAN EXPRESSION,2016,BLANCO
28/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),CARVAJAL E-8,VIAS PUBLICAS,ARMA DE FUEGO,11001000,AUTOMOVIL,KIA,CERATO KOUP SX,2015,GRIS
28/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),ALCALÁ E-16,VIAS PUBLICAS,ARMA DE FUEGO,11001000,AUTOMOVIL,RENAULT,STEPWAY,2014,GRIS
